﻿IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4
Lands Sword,Lands Sword,16,1,"Grants Atk+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat, neutralizes effects that prevent unit's follow-up attacks, disables non-Special effects that ""reduce damage by X%"" (excluding those inflicted on unit's area-of-effect Specials), prevents foe's Specials that are triggered by unit's attack, and restores 7 HP to unit after combat.",Sword,atkBoost,3,theLand,0,,,,,,,L!Nanna,,,
Sharp War Sword,Sharp War Sword,16,1,"Accelerates Special trigger (cooldown count-1). If a skill compares unit's Spd to a foe's or ally's Spd, treats unit's Spd as if granted +10. At start of turn, if unit is within 2 spaces of an ally, grants 【Null Follow-Up】 and 【Dodge】 to unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat.",Sword,slaying,1,phantomSpd,3,pointySword,0,,,,,CH!Mia,,,
Sturdy War Sword,Sturdy War Sword,16,1,"Grants Atk+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, and if unit's attack triggers Special, the following effects will occur based on the number of allies within 4 spaces of unit: If ≥ 1, before unit's first attack, grants Special cooldown count-X (X = 50% of unit's max Special cooldown count value, rounded down) to unit. If ≥ 2, reduces damage from foe's first attack by X% (X = unit's max Special cooldown count value x 10). If ≥ 3, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks.",Sword,atkBoost,3,sturdyWarrr,0,,,,,,,CH!Ike,,,
Regal Sunshade,Regal Sunshade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk+6 to unit and inflicts Atk-6 on foe during combat, reduces damage from foe's first attack during combat by 40%, and also, if there are X or more foes within 3 columns or 3 rows centered on unit, unit attacks twice. (X = 1 when there are ≤ 2 foes on the enemy team, X = 2 when there are 3-5 foes, and X = 3 when there are ≥ 6 foes.)",Sword,slaying,1,regalSunshade,,,,,,,,SU!Edelgard,,,
Wanderer Blade,Wanderer Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",Sword,slaying,1,wandererer,0,,,,,,,Rutger,,,
Wanderer BladeEff,Wanderer Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.) At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).",Sword,slaying,1,wandererer,0,HPBoost,3,like the university,2,,,Rutger,,,
Wanderer BladeAtk,Wanderer Blade,18,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",Sword,slaying,1,wandererer,0,HPBoost,5,,,,,Rutger,,,
Wanderer BladeSpd,Wanderer Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",Sword,slaying,1,wandererer,0,HPBoost,5,spdBoost,3,,,Rutger,,,
Wanderer BladeDef,Wanderer Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",Sword,slaying,1,wandererer,0,HPBoost,5,defBoost,4,,,Rutger,M!Alear,,
Wanderer BladeRes,Wanderer Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit during combat, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",Sword,slaying,1,wandererer,0,HPBoost,5,resBoost,4,,,Rutger,,,
Holytide Tyrfing,Holytide Tyrfing,16,1,"Enables 【Canto (2)】. Accelerates Special trigger (cooldown count-1). If unit or foe initates combat after moving to a different space, grants Atk/Spd/Def/Res+5 to unit during combat and deals damage = number of spaces moved by whoever initiated combat (max 4) x 10% of foes Def (except when dealing damage with area-of-effect Specials), and also, if unit's HP ≥ 25% at start of combat, if unit's HP > 1 and foe would reduce unit's HP to 0, unit survives with 1 HP. (Once per combat. Does not stack with non-Special effects that allow unit to survive with 1 HP if foe's attack would reduce HP to 0.)",Sword,slaying,1,canto,2,I HATE FIRE JOKES >:(,0,,,,,B!Seliph,,,
Crimson Blades,Crimson Blades,11,1,"Grants Spd+5. Inflicts Def/Res -5. Unit attacks twice. At start of combat, the following effects will occur based on unit's HP: if ≥ 20%, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and also, if ≥ 40%, reduces damage from foe's first attack during combat by 40%.",Sword,spdBoost,5,defBoost,-5,resBoost,-5,BraveBW,0,shez!,0,M!Shez,,,
Warrior's Sword,Warrior's Sword,16,1,"Grants Atk+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats (calculates each stat bonus independently), and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",Sword,atkBoost,3,I think that one got THE POINT,0,,,,,,,Holst,,,
Blade of Favors,Blade of Favors,16,1,"Accelerates Special trigger (cooldown count-1). At start of player or enemy phase, if any foes are within 3 rows or 3 columns centered on unit, inflicts Atk/Spd/Def-6 on those foes through their next actions and grants Atk/Spd/Def+6 to unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, inflicts penalty on foe's Atk/Spd/Def during combat = 5 + any current penalty on each of those stats. (example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat; calculates each stat penalty independently) and reduces damage from foe's first attack during combat by 40%.",Sword,slaying,1,gregorSword!,0,,,,,,,Gregor,,,
Libération,Libération,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants 【Charge】 to unit and support partners within 3 spaces of unit for 1 turn. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat and inflicts Spd/Def-X on foe during combat (X = the number of allies from distinct titles within 3 spaces of unit x 4,+ 4; max 12), and also, if unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials by percentage = difference between stats x 4; max 40%.",Sword,slaying,1,"BONDS OF FIIIIRE, CONNECT US",0,,,,,,,F!Alear,,,
Monarch Blade,Monarch Blade,16,1,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), unit deals damage = 15% of unit's Spd (excluding area-of-effect Specials), and also, if unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials by percentage = difference between stats x 4 (max 40%).",Sword,spdBoost,3,"LOVE PROVIIIIDES, PROTECTS US",0,,,,,,,Lumera,,,
Queensblade,Queensblade,16,1,"Grants Atk+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from attacks during combat by 30% (excluding area-of-effect Specials). Unit and target cannot trigger Specials during combat or area-of-effect Specials. Disables the following effects for both unit and target during combat: defensive terrain effects, support effects, guaranteed follow-ups, effects that prevent follow-ups, effects that prevent counterattacks, and effects that change attack priority (Vantage, Desperation, etc.). Disables skills of all other foes and allies during combat, excluding unit and target.",Sword,atkBoost,3,You get NOTHING,0,,,,,,,Lucia,,,
Frelian Blade,Frelian Blade,16,1,"Accelerates Special trigger (cooldown count -1). If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit, inflicts penalty on foe's Atk/Spd/Def = 15% of unit's Spd at start of combat, neutralizes effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat.",Sword,slaying,1,freliaSword,0,,,,,,,Syrene,,,
Fiery War Sword,Fiery War Sword,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = number of 【Bonus】 effects active on unit, excluding stat bonuses x 3, +5; max 17), neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces damage from foe's first attack by 40% during combat.",Sword,slaying,1,fieryEliSword,0,,,,,,,CH!Eliwood,,,
Lone Wolf,Lone Wolf,16,1,"Accelerates Special trigger (cooldown count-1). If unit's HP ≥ 25% at start of turn, grants the following effect to unit at start of turn, or if unit's HP ≥ 25% at start of combat, grants the following effect to unit after combat: if unit's Special cooldown count is at its maximum value, grants Special cooldown count-2 to unit; if unit's Special cooldown count is at its maximum value-1, grants Special cooldown count-1 to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%, and also, if unit is not adjacent to an ally, inflicts Atk/Spd/Def-5 on foe during combat.",Sword,slaying,1,>:(,400,,,,,,,Felix,,,
Captain's Sword,Captain's Sword,16,1,"Accelerates Special trigger (cooldown count-1). Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat, restores 7 HP to unit after combat, and also, if foe initiates combat and unit's Spd > foe's Spd, unit can counterattack before foe's first attack.",Sword,slaying,1,Hardy Bearing or Die Swearing,0,,,,,,,FA!F!Byleth,,,
Freeblade's Edge,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%.",Sword,eyvelBlade,1,,,,,,,,,Eyvel,,,
Freeblade's EdgeEff,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4, deals damage = 15% of unit's Def during combat, including when dealing damage with a Special triggered before combat, and unit makes a guaranteed follow-up attack during combat.",Sword,eyvelBlade,1,HPBoost,3,I ain't reading all of that,9,,,,,Eyvel,,,
Freeblade's EdgeAtk,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%.",Sword,eyvelBlade,1,HPBoost,5,,,,,,,Eyvel,,,
Freeblade's EdgeSpd,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%.",Sword,eyvelBlade,1,HPBoost,5,spdBoost,3,,,,,Eyvel,,,
Freeblade's EdgeDef,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%.",Sword,eyvelBlade,1,HPBoost,5,defBoost,4,,,,,Eyvel,,,
Freeblade's EdgeRes,Freeblade's Edge,16,1,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+4 to unit and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack), and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%.",Sword,eyvelBlade,1,HPBoost,5,resBoost,4,,,,,Eyvel,,,
Vassal-Saint Steel,Vassal-Saint Steel,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25% and unit's Special cooldown count is at its maximum value, grants Special cooldown count-1 to unit At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, inflicts Spd/Def-X on foe (X = 11 - foe's max Special cooldown count value x 2; min 3; if foe does not have a Special skill, penalty = 3), and reduces damage from foe's first attack by 40% during combat, and also, if unit's Spd ≥ foe's Spd+5, neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat. If unit's HP ≥ 25% at start of combat and unit's Special cooldown count is at its maximum value after combat, grants Special cooldown count-1 to unit after combat.",Sword,godSword?,0,,,,,,,,,A!Fir,,,
Surfer's Spire,Surfer's Spire,11,1,"Enables 【Canto (Rem. +1)】. Grants Spd+5. Unit attacks twice (even if foe initiates combat, unit attacks twice). Deals damage = 20% of unit's Spd during combat (excluding area-of-effect Specials).",Sword,canto,12,spdBoost,5,BraveBW,0,summerSHEZ!,0,,,SU!F!Shez,,,
Ice-Bound Brand,Ice-Bound Brand,16,1,"Accelerates Special trigger (cooldown count-1). If foe uses bow, dagger, magic, or staff, neutralizes effects that prevent unit's counterattacks during combat. If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit, inflicts penalty on foe's Atk/Spd = 20% of unit's Spd at start of combat, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), and reduces damage dealt to unit by 5 when foe's attack triggers unit's Special (excluding Miracle) during combat.",Sword,slaying,1,owowow,0,,,,,,,SU!Fjorm,,,
Fair-Fight Blade,Fair-Fight Blade,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, deals damage = 25% of unit's Def and reduces damage from foe's attacks by 25% of unit's Def (excluding area-of-effect Specials), neutralizes ""reduces damage by X%"" effects from unit's and foe's non-Special skills (excluding area-of-effect Specials), neutralizes effects that guarantee unit's and foe's follow-up attacks, and increases the Spd difference necessary for unit or foe to make a follow-up attack by 20 during combat (Spd must be ≥ 25 to make a follow-up attack; stacks with similar skills). At start of combat, if unit's HP ≥ 25% and unit initiates combat, grants Special cooldown count-1 to unit before unit's first attack during combat. At start of combat, if unit's HP ≥ 25% and foe initiates combat, neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit deals damage to foe using a Special during combat, restores 10 HP to unit (triggers even if 0 damage is dealt). ",Sword,slaying,1,FOR THE PRIDE OF BRODIA,0,,,,,,,Diamant,,,
Teatime's Edge,Teatime's Edge,16,1,"Enables 【Canto (Dist. +1; Max 4)】. Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+X to unit (X = 25% of foe's Atk at start of combat -2; min 6; max 16), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat. 【Canto (Dist. +1; Max 4)】 After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces of from start position to end position unit moved prior to taking action +1 (max 4).",Sword,slaying,1,canto,22,teaSword,0,,,,,T!Ayra,,,
Deliverer's Brand,Deliverer's Brand,16,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",Sword,spdBoost,3,checkmate,0,,,,,,,B!F!Robin,,,
Fujin Uchiwa,Fujin Uchiwa,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+X to unit (X = 5 + the greater of unit's current bonus or foe's current bonus on each stat; calculates each stat bonus independently), inflicts penalty on foe's Atk/Spd/Def/Res = current bonus on each of foe's stats (calculates each stat penalty independently), reduces damage from foe's first attack by 40%, and grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack) during combat.",Sword,slaying,1,Villager News,0,,,,,,,FF!Dagr,,,
Absolute Amiti,Absolute Amiti,11,1,"Enables【Canto (２)】. Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice). If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 11 - foe's max Special cooldown count value × 2; min 3; if foe does not have a Special skill, X = 3), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",Sword,slaying,1,BraveBW,0,absAmitiBoost,0,,,,,L!Elincia,,,
Striving Sword,Striving Sword,16,1,"Accelerates Special trigger (cooldown count-1). If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 25% of foe's Atk at start of combat, - 4; max 14; min 5) and inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), and also, when unit's attack triggers unit's Special, neutralizes ""reduces damage by X%"" effects from foe's non-Special skills (excluding area-of-effect Specials). If unit is within 3 spaces of an ally and foe's attack triggers unit's Special, unit's next attack neutralizes ""reduces damage by X%"" effects from foe's non-Special skills (resets at end of combat). If unit is within 3 spaces of an ally and Special triggers before or during combat, grants Special cooldown count-2 after combat.",Sword,slaying,1,severaBlade,0,,,,,,,Severa,,,
Flower of Tribute,Flower of Tribute,16,1,,Sword,slaying,1,flareField,0,birdistheword,0,,,,,X!Triandra,,,
Troubling Blade,Troubling Blade,11,1,,Sword,slaying,1,BraveBW,0,bomb,5,,,,,Harken,,,
Holy Yule Blade,Holy Yule Blade,16,1,,Sword,slaying,1,festivities,0,,,,,,,WI!M!Byleth,,,
Iron Lance,Iron Lance,6,1,,Lance,,,,,,,,,,,,,,
Steel Lance,Steel Lance,8,1,,Lance,,,,,,,,,,,,,,
Silver Lance,Silver Lance,11,1,,Lance,,,,,,,,,,,,,,
Silver Lance+,Silver Lance+,15,1,,Lance,,,,,,,,,,,,,,
Silver Lance+Atk,Silver Lance+,18,1,,Lance,HPBoost,5,,,,,,,,,,,,
Silver Lance+Spd,Silver Lance+,16,1,,Lance,HPBoost,5,spdBoost,3,,,,,,,,,,
Silver Lance+Def,Silver Lance+,16,1,,Lance,HPBoost,5,defBoost,4,,,,,,,,,,
Silver Lance+Res,Silver Lance+,16,1,,Lance,HPBoost,5,resBoost,4,,,,,,,,,,
Brave Lance,Brave Lance,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",Lance,spdBoost,-5,BraveAW,1,,,,,,,,,,
Brave Lance+,Brave Lance+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",Lance,spdBoost,-5,BraveAW,1,,,,,,,,,,
Sapphire Lance,Sapphire Lance,8,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",Lance,triangleAdeptW,3,,,,,,,,,,,,
Sapphire Lance+,Sapphire Lance+,12,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",Lance,triangleAdeptW,3,,,,,,,,,,,,
Killer Lance,Killer Lance,7,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,,,,,,,,,,,,
Killer Lance+,Killer Lance+,11,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,,,,,,,,,,,,
Slaying Lance,Slaying Lance,10,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,,,,,,,,,,,,
Slaying Lance+,Slaying Lance+,14,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,,,,,,,,,,,,
Slaying Lance+Atk,Slaying Lance+,16,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,HPBoost,5,,,,,,,,,,
Slaying Lance+Spd,Slaying Lance+,14,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,HPBoost,5,spdBoost,3,,,,,,,,
Slaying Lance+Def,Slaying Lance+,14,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,HPBoost,5,defBoost,4,,,,,,,,
Slaying Lance+Res,Slaying Lance+,14,1,Accelerates Special trigger (cooldown count -1).,Lance,slaying,1,HPBoost,5,resBoost,4,,,,,,,,
Heavy Spear,Heavy Spear,6,1,Effective against armored units.,Lance,effArmor,0,,,,,,,,,,,,
Heavy Spear+,Heavy Spear+,12,1,Effective against armored units.,Lance,effArmor,0,,,,,,,,,,,,
Slaying Spear,Slaying Spear,10,1,Effective against armored units.,Lance,effArmor,0,,,,,,,,,,,,
Slaying Spear+,Slaying Spear+,14,1,Effective against armored units.,Lance,effArmor,0,,,,,,,,,,,,
Slaying Spear+Eff,Slaying Spear+,14,1,Effective against armored units.,Lance,effArmor,0,HPBoost,3,nullArmBonuses,0,,,,,,,,
Slaying Spear+Atk,Slaying Spear+,16,1,Effective against armored units.,Lance,effArmor,0,HPBoost,5,,,,,,,,,,
Slaying Spear+Spd,Slaying Spear+,14,1,Effective against armored units.,Lance,effArmor,0,HPBoost,5,spdBoost,3,,,,,,,,
Slaying Spear+Def,Slaying Spear+,14,1,Effective against armored units.,Lance,effArmor,0,HPBoost,5,defBoost,4,,,,,,,,
Slaying Spear+Res,Slaying Spear+,14,1,Effective against armored units.,Lance,effArmor,0,HPBoost,5,resBoost,4,,,,,,,,
Ridersbane,Ridersbane,10,1,Effective against cavalry units.,Lance,effCav,0,,,,,,,,,,,,
Ridersbane+,Ridersbane+,14,1,Effective against cavalry units.,Lance,effCav,0,,,,,,,,,,,,
Ridersbane+Eff,Ridersbane+,14,1,Effective against cavalry units.,Lance,effCav,0,HPBoost,3,nullCavBonuses,0,,,,,,,,
Ridersbane+Atk,Ridersbane+,16,1,Effective against cavalry units.,Lance,effCav,0,HPBoost,5,,,,,,,,,,
Ridersbane+Spd,Ridersbane+,14,1,Effective against cavalry units.,Lance,effCav,0,HPBoost,5,spdBoost,3,,,,,,,,
Ridersbane+Def,Ridersbane+,14,1,Effective against cavalry units.,Lance,effCav,0,HPBoost,5,defBoost,4,,,,,,,,
Ridersbane+Res,Ridersbane+,14,1,Effective against cavalry units.,Lance,effCav,0,HPBoost,5,resBoost,4,,,,,,,,
Firesweep Lance,Firesweep Lance,11,1,Unit and foes cannot counterattack.,Lance,firesweep,0,,,,,,,,,,,,
Firesweep Lance+,Firesweep Lance+,15,1,Unit and foes cannot counterattack.,Lance,firesweep,0,,,,,,,,,,,,
Harmonic Lance,Harmonic Lance,9,1,Deals +10 damage when Special triggers.,Lance,spDamageAdd,10,,,,,,,,,,,,
Harmonic Lance+,Harmonic Lance+,13,1,Deals +10 damage when Special triggers.,Lance,spDamageAdd,10,,,,,,,,,,,,
Harmonic Lance+Atk,Harmonic Lance+,14,1,Deals +10 damage when Special triggers.,Lance,spDamageAdd,10,HPBoost,5,,,,,,,,,,
Harmonic Lance+Spd,Harmonic Lance+,16,1,Deals +10 damage when Special triggers.,Lance,spDamageAdd,10,HPBoost,5,spdBoost,3,,,,,,,,
Harmonic Lance+Def,Harmonic Lance+,14,1,Deals +10 damage when Special triggers.,Lance,spDamageAdd,10,HPBoost,5,defBoost,4,,,,,,,,
Harmonic Lance+Res,Harmonic Lance+,14,1,Deals +10 damage when Special triggers.,Lance,spDamageAdd,10,HPBoost,5,resBoost,4,,,,,,,,
Reprisal Lance,Reprisal Lance,10,1,"If foe initiates combat, grants Atk +6 during combat.",Lance,atkStance,3,,,,,,,,,,,,
Reprisal Lance+,Reprisal Lance+,14,1,"If foe initiates combat, grants Atk +6 during combat.",Lance,atkStance,3,,,,,,,,,,,,
Reprisal Lance+Atk,Reprisal Lance+,16,1,"If foe initiates combat, grants Atk +6 during combat.",Lance,atkStance,3,HPBoost,5,,,,,,,,,,
Reprisal Lance+Spd,Reprisal Lance+,14,1,"If foe initiates combat, grants Atk +6 during combat.",Lance,atkStance,3,HPBoost,5,spdBoost,3,,,,,,,,
Reprisal Lance+Def,Reprisal Lance+,14,1,"If foe initiates combat, grants Atk +6 during combat.",Lance,atkStance,3,HPBoost,5,defBoost,4,,,,,,,,
Reprisal Lance+Res,Reprisal Lance+,14,1,"If foe initiates combat, grants Atk +6 during combat.",Lance,atkStance,3,HPBoost,5,resBoost,4,,,,,,,,
Vanguard,Vanguard,10,1,"If foe initiates combat, grants Def+7 during combat.",Lance,defStance,3.5,,,,,,,,,,,,
Vanguard+,Vanguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Lance,defStance,3.5,,,,,,,,,,,,
Vanguard+Atk,Vanguard+,16,1,"If foe initiates combat, grants Def+7 during combat.",Lance,defStance,3.5,HPBoost,5,,,,,,,,,,
Vanguard+Spd,Vanguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Lance,defStance,3.5,HPBoost,5,spdBoost,3,,,,,,,,
Vanguard+Def,Vanguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Lance,defStance,3.5,HPBoost,5,defBoost,4,,,,,,,,
Vanguard+Res,Vanguard+,14,1,"If foe initiates combat, grants Def+7 during combat.",Lance,defStance,3.5,HPBoost,5,resBoost,4,,,,,,,,
Barrier Lance,Barrier Lance,10,1,"If foe initiates combat, grants Res+7 during combat.",Lance,resStance,3.5,,,,,,,,,,,,
Barrier Lance+,Barrier Lance+,14,1,"If foe initiates combat, grants Res+7 during combat.",Lance,resStance,3.5,,,,,,,,,,,,
Barrier Lance+Atk,Barrier Lance+,16,1,"If foe initiates combat, grants Res+7 during combat.",Lance,resStance,3.5,HPBoost,5,,,,,,,,,,
Barrier Lance+Spd,Barrier Lance+,14,1,"If foe initiates combat, grants Res+7 during combat.",Lance,resStance,3.5,HPBoost,5,spdBoost,3,,,,,,,,
Barrier Lance+Def,Barrier Lance+,14,1,"If foe initiates combat, grants Res+7 during combat.",Lance,resStance,3.5,HPBoost,5,defBoost,4,,,,,,,,
Barrier Lance+Res,Barrier Lance+,14,1,"If foe initiates combat, grants Res+7 during combat.",Lance,resStance,3.5,HPBoost,5,resBoost,4,,,,,,,,
Guard Lance,Guard Lance,10,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack).,Lance,guard,0,,,,,,,,,,,,
Guard Lance+,Guard Lance+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack).,Lance,guard,0,,,,,,,,,,,,
Guard Lance+Atk,Guard Lance+,16,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack).,Lance,guard,0,HPBoost,5,,,,,,,,,,
Guard Lance+Spd,Guard Lance+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack).,Lance,guard,0,HPBoost,5,spdBoost,3,,,,,,,,
Guard Lance+Def,Guard Lance+,14,1,Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack).,Lance,guard,0,HPBoost,5,defBoost,4,,,,,,,,
